,Municipality Name,Barangay Name,Population percentage (2020),Population (2020),Population (2015),Change (2015‑2020),Annual Population Growth Rate (2015‑2020),Postal Code,Coastal/Landlocked,Marine Waterbodies,Coordinates,Estimated Elevation above sea level
122,Caloocan,Barangay 4,0.17%,"2,875","2,809",2.35%,0.49%,NULL,landlocked,none (landlocked),"14.6591, 120.9694 (14° 40' North, 120° 58' East)",7.9 meters (25.9 feet)
123,Caloocan,Barangay 40,0.06%,963,"1,349",-28.61%,-6.85%,NULL,landlocked,none (landlocked),"14.6385, 120.9824 (14° 38' North, 120° 59' East)",16.1 meters (52.8 feet)
124,Caloocan,Barangay 41,0.05%,903,"1,169",-22.75%,-5.29%,NULL,landlocked,none (landlocked),"14.6398, 120.9823 (14° 38' North, 120° 59' East)",18.2 meters (59.7 feet)
125,Caloocan,Barangay 42,0.04%,715,760,-5.92%,-1.28%,NULL,landlocked,none (landlocked),"14.6399, 120.9805 (14° 38' North, 120° 59' East)",14.0 meters (45.9 feet)
126,Caloocan,Barangay 43,0.21%,"3,521","3,827",-8.00%,-1.74%,NULL,landlocked,none (landlocked),"14.6407, 120.9781 (14° 38' North, 120° 59' East)",7.9 meters (25.9 feet)
127,Caloocan,Barangay 44,0.03%,529,700,-24.43%,-5.73%,NULL,landlocked,none (landlocked),"14.6410, 120.9802 (14° 38' North, 120° 59' East)",15.4 meters (50.5 feet)
128,Caloocan,Barangay 45,0.02%,311,651,-52.23%,-14.40%,NULL,landlocked,none (landlocked),"14.6411, 120.9824 (14° 38' North, 120° 59' East)",18.8 meters (61.7 feet)
129,Caloocan,Barangay 46,0.09%,"1,454","1,426",1.96%,0.41%,NULL,landlocked,none (landlocked),"14.6426, 120.9779 (14° 39' North, 120° 59' East)",11.5 meters (37.7 feet)
130,Caloocan,Barangay 47,0.03%,559,395,41.52%,7.58%,NULL,landlocked,none (landlocked),"14.6425, 120.9802 (14° 39' North, 120° 59' East)",17.5 meters (57.4 feet)
131,Caloocan,Barangay 48,0.04%,606,652,-7.06%,-1.53%,NULL,landlocked,none (landlocked),"14.6427, 120.9824 (14° 39' North, 120° 59' East)",20.6 meters (67.6 feet)
132,Caloocan,Barangay 49,0.25%,"4,095","6,080",-32.65%,-7.98%,NULL,landlocked,none (landlocked),"14.6445, 120.9771 (14° 39' North, 120° 59' East)",9.4 meters (30.8 feet)
133,Caloocan,Barangay 5,0.19%,"3,083","3,004",2.63%,0.55%,NULL,landlocked,none (landlocked),"14.6565, 120.9728 (14° 39' North, 120° 58' East)",16.3 meters (53.5 feet)
134,Caloocan,Barangay 50,0.06%,"1,005","1,333",-24.61%,-5.77%,NULL,landlocked,none (landlocked),"14.6440, 120.9790 (14° 39' North, 120° 59' East)",14.2 meters (46.6 feet)
135,Caloocan,Barangay 51,0.05%,765,964,-20.64%,-4.75%,NULL,landlocked,none (landlocked),"14.6438, 120.9817 (14° 39' North, 120° 59' East)",20.8 meters (68.2 feet)
136,Caloocan,Barangay 52,0.08%,"1,279","2,816",-54.58%,-15.31%,NULL,landlocked,none (landlocked),"14.6466, 120.9769 (14° 39' North, 120° 59' East)",12.5 meters (41.0 feet)
137,Caloocan,Barangay 53,0.05%,876,"1,181",-25.83%,-6.09%,NULL,landlocked,none (landlocked),"14.6461, 120.9785 (14° 39' North, 120° 59' East)",17.7 meters (58.1 feet)
138,Caloocan,Barangay 54,0.03%,572,833,-31.33%,-7.61%,NULL,landlocked,none (landlocked),"14.6467, 120.9815 (14° 39' North, 120° 59' East)",19.2 meters (63.0 feet)
139,Caloocan,Barangay 55,0.09%,"1,442","1,262",14.26%,2.85%,NULL,landlocked,none (landlocked),"14.6450, 120.9814 (14° 39' North, 120° 59' East)",19.3 meters (63.3 feet)
140,Caloocan,Barangay 56,0.15%,"2,464","3,328",-25.96%,-6.13%,NULL,landlocked,none (landlocked),"14.6480, 120.9768 (14° 39' North, 120° 59' East)",13.6 meters (44.6 feet)
141,Caloocan,Barangay 57,0.05%,756,738,2.44%,0.51%,NULL,landlocked,none (landlocked),"14.6480, 120.9793 (14° 39' North, 120° 59' East)",14.5 meters (47.6 feet)
142,Caloocan,Barangay 58,0.03%,493,637,-22.61%,-5.25%,NULL,landlocked,none (landlocked),"14.6481, 120.9822 (14° 39' North, 120° 59' East)",19.3 meters (63.3 feet)
143,Caloocan,Barangay 59,0.23%,"3,808","4,843",-21.37%,-4.93%,NULL,landlocked,none (landlocked),"14.6498, 120.9766 (14° 39' North, 120° 59' East)",13.7 meters (44.9 feet)
144,Caloocan,Barangay 6,0.07%,"1,190","1,221",-2.54%,-0.54%,NULL,landlocked,none (landlocked),"14.6573, 120.9705 (14° 39' North, 120° 58' East)",8.5 meters (27.9 feet)
145,Caloocan,Barangay 60,0.11%,"1,792","1,944",-7.82%,-1.70%,NULL,landlocked,none (landlocked),"14.6503, 120.9787 (14° 39' North, 120° 59' East)",15.1 meters (49.5 feet)
146,Caloocan,Barangay 61,0.06%,996,"1,055",-5.59%,-1.20%,NULL,landlocked,none (landlocked),"14.6494, 120.9816 (14° 39' North, 120° 59' East)",17.6 meters (57.7 feet)
147,Caloocan,Barangay 62,0.01%,244,354,-31.07%,-7.53%,NULL,landlocked,none (landlocked),"14.6508, 120.9816 (14° 39' North, 120° 59' East)",16.2 meters (53.1 feet)
148,Caloocan,Barangay 63,0.18%,"2,988","3,423",-12.71%,-2.82%,NULL,landlocked,none (landlocked),"14.6508, 120.9765 (14° 39' North, 120° 59' East)",14.0 meters (45.9 feet)
149,Caloocan,Barangay 64,0.09%,"1,550","1,345",15.24%,3.03%,NULL,landlocked,none (landlocked),"14.6520, 120.9755 (14° 39' North, 120° 59' East)",14.5 meters (47.6 feet)
150,Caloocan,Barangay 65,0.08%,"1,300","1,021",27.33%,5.22%,NULL,landlocked,none (landlocked),"14.6527, 120.9766 (14° 39' North, 120° 59' East)",17.6 meters (57.7 feet)
151,Caloocan,Barangay 66,0.13%,"2,206","1,361",62.09%,10.70%,NULL,landlocked,none (landlocked),"14.6526, 120.9783 (14° 39' North, 120° 59' East)",15.4 meters (50.5 feet)
152,Caloocan,Barangay 67,0.14%,"2,320","2,509",-7.53%,-1.63%,NULL,landlocked,none (landlocked),"14.6527, 120.9805 (14° 39' North, 120° 59' East)",19.3 meters (63.3 feet)
153,Caloocan,Barangay 68,0.07%,"1,106","1,173",-5.71%,-1.23%,NULL,landlocked,none (landlocked),"14.6525, 120.9827 (14° 39' North, 120° 59' East)",17.5 meters (57.4 feet)
154,Caloocan,Barangay 69,0.19%,"3,173","3,191",-0.56%,-0.12%,NULL,landlocked,none (landlocked),"14.6541, 120.9778 (14° 39' North, 120° 59' East)",17.0 meters (55.8 feet)
155,Caloocan,Barangay 7,0.16%,"2,608","2,619",-0.42%,-0.09%,NULL,landlocked,none (landlocked),"14.6559, 120.9705 (14° 39' North, 120° 58' East)",11.5 meters (37.7 feet)
156,Caloocan,Barangay 70,0.27%,"4,411","4,208",4.82%,1.00%,NULL,landlocked,none (landlocked),"14.6544, 120.9795 (14° 39' North, 120° 59' East)",17.4 meters (57.1 feet)
157,Caloocan,Barangay 71,0.05%,777,825,-5.82%,-1.25%,NULL,landlocked,none (landlocked),"14.6546, 120.9831 (14° 39' North, 120° 59' East)",22.3 meters (73.2 feet)
158,Caloocan,Barangay 72,0.00%,46,0,NULL,NULL,NULL,landlocked,none (landlocked),"14.6555, 120.9824 (14° 39' North, 120° 59' East)",29.2 meters (95.8 feet)
159,Caloocan,Barangay 73,1.06%,"17,649","17,993",-1.91%,-0.41%,NULL,landlocked,none (landlocked),"14.6554, 120.9756 (14° 39' North, 120° 59' East)",19.3 meters (63.3 feet)
160,Caloocan,Barangay 74,0.23%,"3,864","3,501",10.37%,2.10%,NULL,landlocked,none (landlocked),"14.6563, 120.9786 (14° 39' North, 120° 59' East)",18.6 meters (61.0 feet)
161,Caloocan,Barangay 75,0.13%,"2,207","3,246",-32.01%,-7.80%,NULL,landlocked,none (landlocked),"14.6555, 120.9806 (14° 39' North, 120° 59' East)",16.3 meters (53.5 feet)
162,Caloocan,Barangay 76,0.00%,2,3,-33.33%,-8.18%,NULL,landlocked,none (landlocked),"14.6564, 120.9831 (14° 39' North, 120° 59' East)",26.2 meters (86.0 feet)
163,Caloocan,Barangay 77,0.05%,822,977,-15.86%,-3.57%,NULL,landlocked,none (landlocked),"14.6580, 120.9810 (14° 39' North, 120° 59' East)",21.8 meters (71.5 feet)
164,Caloocan,Barangay 78,0.11%,"1,818","1,842",-1.30%,-0.28%,NULL,landlocked,none (landlocked),"14.6594, 120.9833 (14° 40' North, 120° 59' East)",19.7 meters (64.6 feet)
165,Caloocan,Barangay 79,0.04%,631,632,-0.16%,-0.03%,NULL,landlocked,none (landlocked),"14.6596, 120.9811 (14° 40' North, 120° 59' East)",22.3 meters (73.2 feet)
166,Caloocan,Barangay 8,1.41%,"23,399","23,766",-1.54%,-0.33%,NULL,landlocked,none (landlocked),"14.6571, 120.9657 (14° 39' North, 120° 58' East)",6.6 meters (21.7 feet)
167,Caloocan,Barangay 80,0.11%,"1,904","1,813",5.02%,1.04%,NULL,landlocked,none (landlocked),"14.6597, 120.9766 (14° 40' North, 120° 59' East)",22.0 meters (72.2 feet)
168,Caloocan,Barangay 81,0.11%,"1,894","2,528",-25.08%,-5.90%,NULL,landlocked,none (landlocked),"14.6594, 120.9847 (14° 40' North, 120° 59' East)",23.7 meters (77.8 feet)
169,Caloocan,Barangay 82,0.11%,"1,758","1,949",-9.80%,-2.15%,NULL,landlocked,none (landlocked),"14.6628, 120.9892 (14° 40' North, 120° 59' East)",16.3 meters (53.5 feet)
170,Caloocan,Barangay 83,0.08%,"1,251","1,347",-7.13%,-1.54%,NULL,landlocked,none (landlocked),"14.6602, 120.9886 (14° 40' North, 120° 59' East)",23.5 meters (77.1 feet)
171,Caloocan,Barangay 84,0.08%,"1,257","1,277",-1.57%,-0.33%,NULL,landlocked,none (landlocked),"14.6598, 120.9868 (14° 40' North, 120° 59' East)",23.1 meters (75.8 feet)
172,Caloocan,Barangay 85,0.06%,989,"1,301",-23.98%,-5.61%,NULL,landlocked,none (landlocked),"14.6586, 120.9896 (14° 40' North, 120° 59' East)",21.9 meters (71.8 feet)
173,Caloocan,Barangay 86,0.07%,"1,109","1,454",-23.73%,-5.54%,NULL,landlocked,none (landlocked),"14.6564, 120.9861 (14° 39' North, 120° 59' East)",23.9 meters (78.4 feet)
174,Caloocan,Barangay 87,0.08%,"1,385","1,310",5.73%,1.18%,NULL,landlocked,none (landlocked),"14.6563, 120.9905 (14° 39' North, 120° 59' East)",22.0 meters (72.2 feet)
175,Caloocan,Barangay 88,0.13%,"2,202","2,488",-11.50%,-2.54%,NULL,landlocked,none (landlocked),"14.6547, 120.9861 (14° 39' North, 120° 59' East)",24.4 meters (80.1 feet)
176,Caloocan,Barangay 89,0.06%,"1,057","1,550",-31.81%,-7.74%,NULL,landlocked,none (landlocked),"14.6544, 120.9894 (14° 39' North, 120° 59' East)",21.5 meters (70.5 feet)
177,Caloocan,Barangay 9,0.11%,"1,866","1,986",-6.04%,-1.30%,NULL,landlocked,none (landlocked),"14.6532, 120.9739 (14° 39' North, 120° 58' East)",17.1 meters (56.1 feet)
178,Caloocan,Barangay 90,0.09%,"1,518","1,429",6.23%,1.28%,NULL,landlocked,none (landlocked),"14.6537, 120.9863 (14° 39' North, 120° 59' East)",22.7 meters (74.5 feet)
179,Caloocan,Barangay 91,0.04%,610,598,2.01%,0.42%,NULL,landlocked,none (landlocked),"14.6524, 120.9864 (14° 39' North, 120° 59' East)",22.8 meters (74.8 feet)
180,Caloocan,Barangay 92,0.04%,620,610,1.64%,0.34%,NULL,landlocked,none (landlocked),"14.6547, 120.9908 (14° 39' North, 120° 59' East)",21.4 meters (70.2 feet)
181,Caloocan,Barangay 93,0.20%,"3,267","3,248",0.58%,0.12%,NULL,landlocked,none (landlocked),"14.6519, 120.9907 (14° 39' North, 120° 59' East)",22.6 meters (74.1 feet)
182,Caloocan,Barangay 94,0.05%,776,927,-16.29%,-3.67%,NULL,landlocked,none (landlocked),"14.6565, 120.9942 (14° 39' North, 120° 60' East)",23.5 meters (77.1 feet)
183,Caloocan,Barangay 95,0.13%,"2,242","2,784",-19.47%,-4.46%,NULL,landlocked,none (landlocked),"14.6563, 120.9973 (14° 39' North, 120° 60' East)",28.4 meters (93.2 feet)
184,Caloocan,Barangay 96,0.08%,"1,366","1,540",-11.30%,-2.49%,NULL,landlocked,none (landlocked),"14.6543, 120.9932 (14° 39' North, 120° 60' East)",23.1 meters (75.8 feet)
185,Caloocan,Barangay 97,0.09%,"1,537","1,654",-7.07%,-1.53%,NULL,landlocked,none (landlocked),"14.6526, 120.9930 (14° 39' North, 120° 60' East)",23.8 meters (78.1 feet)
186,Caloocan,Barangay 98,0.11%,"1,761","2,182",-19.29%,-4.41%,NULL,landlocked,none (landlocked),"14.6522, 120.9945 (14° 39' North, 120° 60' East)",26.1 meters (85.6 feet)
187,Caloocan,Barangay 99,0.04%,677,772,-12.31%,-2.73%,NULL,landlocked,none (landlocked),"14.6549, 120.9972 (14° 39' North, 120° 60' East)",23.1 meters (75.8 feet)
0,Las Piñas,Almanza Dos,6.17%,"37,432","37,595",-0.43%,-0.09%,NULL,coastal,Manila Bay [South China Sea],"14.4023, 121.0059 (14° 24' North, 121° 0' East)",43.5 meters (142.7 feet)
1,Las Piñas,Almanza Uno,5.98%,"36,232","30,405",19.16%,3.76%,NULL,coastal,Manila Bay [South China Sea],"14.4330, 121.0132 (14° 26' North, 121° 1' East)",35.7 meters (117.1 feet)
2,Las Piñas,B. F. International Village,13.48%,"81,739","77,264",5.79%,1.19%,NULL,coastal,Manila Bay [South China Sea],"14.4568, 120.9981 (14° 27' North, 120° 60' East)",18.9 meters (62.0 feet)
3,Las Piñas,Daniel Fajardo,1.75%,"10,629","10,425",1.96%,0.41%,NULL,coastal,Manila Bay [South China Sea],"14.4809, 120.9816 (14° 29' North, 120° 59' East)",10.9 meters (35.8 feet)
4,Las Piñas,Elias Aldana,1.69%,"10,275","10,402",-1.22%,-0.26%,NULL,coastal,Manila Bay [South China Sea],"14.4773, 120.9795 (14° 29' North, 120° 59' East)",7.7 meters (25.3 feet)
5,Las Piñas,Ilaya,1.17%,"7,103","6,055",17.31%,3.42%,NULL,coastal,Manila Bay [South China Sea],"14.4780, 120.9807 (14° 29' North, 120° 59' East)",7.0 meters (23.0 feet)
6,Las Piñas,Manuyo Dos,7.32%,"44,351","37,007",19.84%,3.88%,NULL,coastal,Manila Bay [South China Sea],"14.4711, 120.9917 (14° 28' North, 120° 60' East)",10.6 meters (34.8 feet)
7,Las Piñas,Manuyo Uno,2.44%,"14,794","15,405",-3.97%,-0.85%,NULL,coastal,Manila Bay [South China Sea],"14.4830, 120.9845 (14° 29' North, 120° 59' East)",7.8 meters (25.6 feet)
8,Las Piñas,Pamplona Dos,1.51%,"9,141","10,765",-15.09%,-3.38%,NULL,coastal,Manila Bay [South China Sea],"14.4496, 120.9751 (14° 27' North, 120° 59' East)",11.6 meters (38.1 feet)
9,Las Piñas,Pamplona Tres,5.79%,"35,098","35,612",-1.44%,-0.31%,NULL,coastal,Manila Bay [South China Sea],"14.4556, 120.9837 (14° 27' North, 120° 59' East)",11.1 meters (36.4 feet)
10,Las Piñas,Pamplona Uno,3.15%,"19,085","18,577",2.73%,0.57%,NULL,coastal,Manila Bay [South China Sea],"14.4584, 120.9704 (14° 28' North, 120° 58' East)",10.0 meters (32.8 feet)
11,Las Piñas,Pilar,4.91%,"29,780","31,459",-5.34%,-1.15%,NULL,coastal,Manila Bay [South China Sea],"14.4208, 121.0086 (14° 25' North, 121° 1' East)",36.7 meters (120.4 feet)
12,Las Piñas,Pulang Lupa Dos,5.36%,"32,485","33,171",-2.07%,-0.44%,NULL,coastal,Manila Bay [South China Sea],"14.4603, 120.9810 (14° 28' North, 120° 59' East)",11.6 meters (38.1 feet)
13,Las Piñas,Pulang Lupa Uno,6.33%,"38,405","31,401",22.31%,4.33%,NULL,coastal,Manila Bay [South China Sea],"14.4711, 120.9775 (14° 28' North, 120° 59' East)",7.7 meters (25.3 feet)
14,Las Piñas,Talon Dos,7.25%,"43,978","53,091",-17.16%,-3.89%,NULL,coastal,Manila Bay [South China Sea],"14.4405, 120.9913 (14° 26' North, 120° 59' East)",23.4 meters (76.8 feet)
15,Las Piñas,Talon Kuatro,3.42%,"20,763","21,420",-3.07%,-0.65%,NULL,coastal,Manila Bay [South China Sea],"14.4336, 120.9976 (14° 26' North, 120° 60' East)",22.0 meters (72.2 feet)
16,Las Piñas,Talon Singko,6.38%,"38,684","45,374",-14.74%,-3.30%,NULL,coastal,Manila Bay [South China Sea],"14.4233, 120.9959 (14° 25' North, 120° 60' East)",33.1 meters (108.6 feet)
17,Las Piñas,Talon Tres,5.44%,"32,963","27,874",18.26%,3.59%,NULL,coastal,Manila Bay [South China Sea],"14.4423, 121.0013 (14° 27' North, 121° 0' East)",22.5 meters (73.8 feet)
18,Las Piñas,Talon Uno,7.01%,"42,505","34,821",22.07%,4.29%,NULL,coastal,Manila Bay [South China Sea],"14.4384, 121.0028 (14° 26' North, 121° 0' East)",25.9 meters (85.0 feet)
19,Las Piñas,Zapote,3.44%,"20,851","20,771",0.39%,0.08%,NULL,coastal,Manila Bay [South China Sea],"14.4652, 120.9682 (14° 28' North, 120° 58' East)",9.4 meters (30.8 feet)
0,Makati,Bangkal,2.79%,"17,576","21,650",-18.82%,-4.29%,NULL,landlocked,none (landlocked),"14.5465, 121.0122 (14° 33' North, 121° 1' East)",10.7 meters (35.1 feet)
1,Makati,Bel-Air,5.72%,"36,007","23,685",52.02%,9.22%,NULL,landlocked,none (landlocked),"14.5606, 121.0216 (14° 34' North, 121° 1' East)",39.6 meters (129.9 feet)
2,Makati,Carmona,0.44%,"2,745","3,109",-11.71%,-2.59%,NULL,landlocked,none (landlocked),"14.5776, 121.0184 (14° 35' North, 121° 1' East)",10.0 meters (32.8 feet)
3,Makati,Cembo,3.98%,"25,049","26,213",-4.44%,-0.95%,NULL,landlocked,none (landlocked),"14.5632, 121.0518 (14° 34' North, 121° 3' East)",20.4 meters (66.9 feet)
4,Makati,Comembo,2.51%,"15,805","16,818",-6.02%,-1.30%,NULL,landlocked,none (landlocked),"14.5489, 121.0653 (14° 33' North, 121° 4' East)",9.0 meters (29.5 feet)
5,Makati,Dasmariñas,0.66%,"4,160","5,589",-25.57%,-6.03%,NULL,landlocked,none (landlocked),"14.5414, 121.0261 (14° 32' North, 121° 2' East)",20.2 meters (66.3 feet)
6,Makati,East Rembo,4.20%,"26,448","28,114",-5.93%,-1.28%,NULL,landlocked,none (landlocked),"14.5515, 121.0624 (14° 33' North, 121° 4' East)",9.1 meters (29.9 feet)
7,Makati,Forbes Park,0.59%,"3,715","2,335",59.10%,10.27%,NULL,landlocked,none (landlocked),"14.5512, 121.0352 (14° 33' North, 121° 2' East)",23.7 meters (77.8 feet)
8,Makati,Guadalupe Nuevo,3.26%,"20,533","18,341",11.95%,2.40%,NULL,landlocked,none (landlocked),"14.5611, 121.0448 (14° 34' North, 121° 3' East)",18.3 meters (60.0 feet)
9,Makati,Guadalupe Viejo,2.05%,"12,900","13,415",-3.84%,-0.82%,NULL,landlocked,none (landlocked),"14.5645, 121.0399 (14° 34' North, 121° 2' East)",8.0 meters (26.2 feet)
10,Makati,Kasilawan,0.77%,"4,827","5,881",-17.92%,-4.07%,NULL,landlocked,none (landlocked),"14.5757, 121.0156 (14° 35' North, 121° 1' East)",6.5 meters (21.3 feet)
11,Makati,La Paz,1.01%,"6,346","7,356",-13.73%,-3.06%,NULL,landlocked,none (landlocked),"14.5682, 121.0076 (14° 34' North, 121° 0' East)",6.3 meters (20.7 feet)
12,Makati,Magallanes,0.84%,"5,267","5,672",-7.14%,-1.55%,NULL,landlocked,none (landlocked),"14.5359, 121.0179 (14° 32' North, 121° 1' East)",9.1 meters (29.9 feet)
13,Makati,Olympia,2.96%,"18,654","20,251",-7.89%,-1.71%,NULL,landlocked,none (landlocked),"14.5719, 121.0211 (14° 34' North, 121° 1' East)",8.1 meters (26.6 feet)
14,Makati,Palanan,1.85%,"11,623","14,110",-17.63%,-4.00%,NULL,landlocked,none (landlocked),"14.5603, 121.0049 (14° 34' North, 121° 0' East)",5.8 meters (19.0 feet)
15,Makati,Pembo,7.07%,"44,506","48,275",-7.81%,-1.70%,NULL,landlocked,none (landlocked),"14.5467, 121.0616 (14° 33' North, 121° 4' East)",11.8 meters (38.7 feet)
16,Makati,Pinagkaisahan,0.75%,"4,710","5,739",-17.93%,-4.07%,NULL,landlocked,none (landlocked),"14.5582, 121.0408 (14° 33' North, 121° 2' East)",16.8 meters (55.1 feet)
17,Makati,Pio del Pilar,8.06%,"50,722","30,732",65.05%,11.12%,NULL,landlocked,none (landlocked),"14.5525, 121.0117 (14° 33' North, 121° 1' East)",9.8 meters (32.2 feet)
18,Makati,Pitogo,2.33%,"14,654","14,395",1.80%,0.38%,NULL,landlocked,none (landlocked),"14.5566, 121.0462 (14° 33' North, 121° 3' East)",27.3 meters (89.6 feet)
19,Makati,Poblacion,2.65%,"16,706","25,393",-34.21%,-8.44%,NULL,landlocked,none (landlocked),"14.5674, 121.0319 (14° 34' North, 121° 2' East)",12.9 meters (42.3 feet)
20,Makati,Post Proper Northside,9.20%,"57,940","28,572",102.79%,16.05%,NULL,landlocked,none (landlocked),"14.5548, 121.0510 (14° 33' North, 121° 3' East)",29.7 meters (97.4 feet)
21,Makati,Post Proper Southside,10.06%,"63,308","52,428",20.75%,4.05%,NULL,landlocked,none (landlocked),"14.5405, 121.0502 (14° 32' North, 121° 3' East)",47.6 meters (156.2 feet)
22,Makati,Rizal,7.07%,"44,536","42,635",4.46%,0.92%,NULL,landlocked,none (landlocked),"14.5385, 121.0609 (14° 32' North, 121° 4' East)",7.9 meters (25.9 feet)
23,Makati,San Antonio,2.78%,"17,494","16,840",3.88%,0.81%,NULL,landlocked,none (landlocked),"14.5623, 121.0084 (14° 34' North, 121° 1' East)",4.9 meters (16.1 feet)
24,Makati,San Isidro,0.97%,"6,098","8,045",-24.20%,-5.67%,NULL,landlocked,none (landlocked),"14.5539, 121.0053 (14° 33' North, 121° 0' East)",8.2 meters (26.9 feet)
25,Makati,San Lorenzo,2.23%,"14,054","12,995",8.15%,1.66%,NULL,landlocked,none (landlocked),"14.5516, 121.0218 (14° 33' North, 121° 1' East)",8.2 meters (26.9 feet)
26,Makati,Santa Cruz,1.01%,"6,333","7,207",-12.13%,-2.68%,NULL,landlocked,none (landlocked),"14.5678, 121.0154 (14° 34' North, 121° 1' East)",9.7 meters (31.8 feet)
27,Makati,Singkamas,1.15%,"7,218","7,370",-2.06%,-0.44%,NULL,landlocked,none (landlocked),"14.5725, 121.0110 (14° 34' North, 121° 1' East)",8.8 meters (28.9 feet)
28,Makati,South Cembo,2.38%,"14,978","15,103",-0.83%,-0.17%,NULL,landlocked,none (landlocked),"14.5592, 121.0496 (14° 34' North, 121° 3' East)",21.9 meters (71.8 feet)
29,Makati,Tejeros,2.40%,"15,122","13,696",10.41%,2.11%,NULL,landlocked,none (landlocked),"14.5745, 121.0138 (14° 34' North, 121° 1' East)",7.4 meters (24.3 feet)
30,Makati,Urdaneta,0.72%,"4,563","4,429",3.03%,0.63%,NULL,landlocked,none (landlocked),"14.5554, 121.0296 (14° 33' North, 121° 2' East)",14.3 meters (46.9 feet)
31,Makati,Valenzuela,0.85%,"5,370","6,310",-14.90%,-3.34%,NULL,landlocked,none (landlocked),"14.5719, 121.0243 (14° 34' North, 121° 1' East)",9.7 meters (31.8 feet)
32,Makati,West Rembo,4.71%,"29,649","29,899",-0.84%,-0.18%,NULL,landlocked,none (landlocked),"14.5597, 121.0629 (14° 34' North, 121° 4' East)",11.8 meters (38.7 feet)
0,Malabon,Acacia,1.30%,"4,959","5,127",-3.28%,-0.70%,NULL,landlocked,none (landlocked),"14.6678, 120.9688 (14° 40' North, 120° 58' East)",10.6 meters (34.8 feet)
1,Malabon,Baritan,3.19%,"12,148","10,193",19.18%,3.76%,NULL,landlocked,none (landlocked),"14.6721, 120.9470 (14° 40' North, 120° 57' East)",4.8 meters (15.7 feet)
2,Malabon,Bayan-bayanan,1.76%,"6,705","6,702",0.04%,0.01%,NULL,landlocked,none (landlocked),"14.6756, 120.9456 (14° 41' North, 120° 57' East)",4.9 meters (16.1 feet)
3,Malabon,Catmon,11.79%,"44,868","39,466",13.69%,2.74%,NULL,landlocked,none (landlocked),"14.6700, 120.9602 (14° 40' North, 120° 58' East)",5.4 meters (17.7 feet)
4,Malabon,Concepcion,3.34%,"12,704","13,311",-4.56%,-0.98%,NULL,landlocked,none (landlocked),"14.6689, 120.9471 (14° 40' North, 120° 57' East)",8.0 meters (26.2 feet)
5,Malabon,Dampalit,3.55%,"13,514","12,124",11.46%,2.31%,NULL,landlocked,none (landlocked),"14.6944, 120.9324 (14° 42' North, 120° 56' East)",4.8 meters (15.7 feet)
6,Malabon,Flores,1.01%,"3,830","4,060",-5.67%,-1.22%,NULL,landlocked,none (landlocked),"14.6743, 120.9429 (14° 40' North, 120° 57' East)",7.6 meters (24.9 feet)
7,Malabon,Hulong Duhat,3.13%,"11,892","11,957",-0.54%,-0.11%,NULL,landlocked,none (landlocked),"14.6780, 120.9420 (14° 41' North, 120° 57' East)",5.6 meters (18.4 feet)
8,Malabon,Ibaba,2.11%,"8,041","8,471",-5.08%,-1.09%,NULL,landlocked,none (landlocked),"14.6645, 120.9507 (14° 40' North, 120° 57' East)",5.2 meters (17.1 feet)
9,Malabon,Longos,14.57%,"55,424","53,549",3.50%,0.73%,NULL,landlocked,none (landlocked),"14.6539, 120.9607 (14° 39' North, 120° 58' East)",6.4 meters (21.0 feet)
10,Malabon,Maysilo,2.74%,"10,445","11,262",-7.25%,-1.57%,NULL,landlocked,none (landlocked),"14.6798, 120.9613 (14° 41' North, 120° 58' East)",6.5 meters (21.3 feet)
11,Malabon,Muzon,1.55%,"5,908","5,668",4.23%,0.88%,NULL,landlocked,none (landlocked),"14.6758, 120.9498 (14° 41' North, 120° 57' East)",3.1 meters (10.2 feet)
12,Malabon,Niugan,1.89%,"7,192","6,232",15.40%,3.06%,NULL,landlocked,none (landlocked),"14.6672, 120.9553 (14° 40' North, 120° 57' East)",5.1 meters (16.7 feet)
13,Malabon,Panghulo,4.66%,"17,746","15,102",17.51%,3.45%,NULL,landlocked,none (landlocked),"14.6872, 120.9547 (14° 41' North, 120° 57' East)",4.9 meters (16.1 feet)
14,Malabon,Potrero,11.12%,"42,311","42,768",-1.07%,-0.23%,NULL,landlocked,none (landlocked),"14.6630, 120.9833 (14° 40' North, 120° 59' East)",23.3 meters (76.4 feet)
15,Malabon,San Agustin,2.84%,"10,804","11,195",-3.49%,-0.75%,NULL,landlocked,none (landlocked),"14.6614, 120.9508 (14° 40' North, 120° 57' East)",6.7 meters (22.0 feet)
16,Malabon,Santolan,3.54%,"13,461","13,769",-2.24%,-0.48%,NULL,landlocked,none (landlocked),"14.6861, 120.9592 (14° 41' North, 120° 58' East)",5.4 meters (17.7 feet)
17,Malabon,Tañong,3.80%,"14,461","14,404",0.40%,0.08%,NULL,landlocked,none (landlocked),"14.6546, 120.9535 (14° 39' North, 120° 57' East)",5.5 meters (18.0 feet)
18,Malabon,Tinajeros,4.84%,"18,411","18,228",1.00%,0.21%,NULL,landlocked,none (landlocked),"14.6709, 120.9696 (14° 40' North, 120° 58' East)",8.8 meters (28.9 feet)
19,Malabon,Tonsuya,10.56%,"40,172","38,019",5.66%,1.17%,NULL,landlocked,none (landlocked),"14.6629, 120.9586 (14° 40' North, 120° 58' East)",7.6 meters (24.9 feet)
